ticker,year,return_annual_pct,group
CIBR,2024,21.2971,benchmarks
CIBR,2025,12.5314,benchmarks
CIBR,2026,12.0366,benchmarks
CRM,2019,19.9852,platform
CRM,2020,33.2595,platform
CRM,2021,15.3511,platform
CRM,2022,-48.0975,platform
CRM,2023,95.2367,platform
CRM,2024,31.2604,platform
CRM,2025,-19.3615,platform
CRM,2026,-31.4155,platform
CRWD,2019,-14.0172,security
CRWD,2020,328.4385,security
CRWD,2021,2.1248,security
CRWD,2022,-46.9117,security
CRWD,2023,147.2115,security
CRWD,2024,38.588,security
CRWD,2025,34.9571,security
CRWD,2026,30.9758,security
CTSH,2019,-0.4605,legacy
CTSH,2020,34.143,legacy
CTSH,2021,13.1318,legacy
CTSH,2022,-35.1624,legacy
CTSH,2023,33.4462,legacy
CTSH,2024,5.0266,legacy
CTSH,2025,10.381,legacy
CTSH,2026,-41.7202,legacy
DDOG,2019,0.6125,saas
DDOG,2020,168.2289,saas
DDOG,2021,95.2318,saas
DDOG,2022,-55.1364,saas
DDOG,2023,68.3729,saas
DDOG,2024,24.1658,saas
DDOG,2025,-5.3192,saas
DDOG,2026,55.4758,saas
DOCN,2021,89.0118,saas
DOCN,2022,-66.1708,saas
DOCN,2023,43.6008,saas
DOCN,2024,-5.9879,saas
DOCN,2025,40.4553,saas
DOCN,2026,216.2548,saas
EPAM,2019,85.5843,legacy
EPAM,2020,65.665,legacy
EPAM,2021,92.0502,legacy
EPAM,2022,-48.9661,legacy
EPAM,2023,-10.283,legacy
EPAM,2024,-19.7102,legacy
EPAM,2025,-10.5952,legacy
EPAM,2026,-53.5967,legacy
ESTC,2019,-3.1189,saas
ESTC,2020,122.1158,saas
ESTC,2021,-12.986,saas
ESTC,2022,-56.929,saas
ESTC,2023,124.681,saas
ESTC,2024,-7.0021,saas
ESTC,2025,-23.8749,saas
ESTC,2026,-30.2646,saas
FIVN,2019,53.9798,saas
FIVN,2020,161.2343,saas
FIVN,2021,-20.693,saas
FIVN,2022,-51.1623,saas
FIVN,2023,13.1579,saas
FIVN,2024,-46.5193,saas
FIVN,2025,-50.4204,saas
FIVN,2026,15.0452,saas
FTNT,2019,53.2147,security
FTNT,2020,35.4212,security
FTNT,2021,146.9085,security
FTNT,2022,-26.618,security
FTNT,2023,20.6307,security
FTNT,2024,63.5168,security
FTNT,2025,-16.19,security
FTNT,2026,57.6528,security
GFAI,2021,-72.7273,ai_native
GFAI,2022,-89.0517,ai_native
GFAI,2023,-49.0798,ai_native
GFAI,2024,-57.0571,ai_native
GFAI,2025,-61.049,ai_native
GFAI,2026,-28.3931,ai_native
GLOB,2019,94.6943,legacy
GLOB,2020,101.977,legacy
GLOB,2021,49.3391,legacy
GLOB,2022,-44.4448,legacy
GLOB,2023,40.8582,legacy
GLOB,2024,-6.9075,legacy
GLOB,2025,-69.3214,legacy
GLOB,2026,-38.3066,legacy
GOOGL,2019,26.9949,platform
GOOGL,2020,28.0533,platform
GOOGL,2021,67.8344,platform
GOOGL,2022,-39.1482,platform
GOOGL,2023,56.7438,platform
GOOGL,2024,37.5018,platform
GOOGL,2025,65.8797,platform
GOOGL,2026,25.9906,platform
HUBS,2019,26.5166,saas
HUBS,2020,143.858,saas
HUBS,2021,69.9979,saas
HUBS,2022,-52.4136,saas
HUBS,2023,100.2622,saas
HUBS,2024,27.1803,saas
HUBS,2025,-42.4602,saas
HUBS,2026,-48.0993,saas
IBM,2019,21.9242,platform
IBM,2020,-2.1698,platform
IBM,2021,18.4788,platform
IBM,2022,8.7014,platform
IBM,2023,21.2806,platform
IBM,2024,41.0383,platform
IBM,2025,38.1574,platform
IBM,2026,-23.7827,platform
IGV,2019,35.031,benchmarks
IGV,2020,50.1476,benchmarks
IGV,2021,14.5404,benchmarks
IGV,2022,-34.9081,benchmarks
IGV,2023,58.2301,benchmarks
IGV,2024,26.9366,benchmarks
IGV,2025,5.7852,benchmarks
IGV,2026,-10.5632,benchmarks
INFY,2019,10.8416,legacy
INFY,2020,68.8352,legacy
INFY,2021,49.5533,legacy
INFY,2022,-27.1205,legacy
INFY,2023,3.5191,legacy
INFY,2024,25.1125,legacy
INFY,2025,-18.9063,legacy
INFY,2026,-33.4986,legacy
INTC,2019,30.2955,infra
INTC,2020,-16.0769,infra
INTC,2021,6.3728,infra
INTC,2022,-48.3574,infra
INTC,2023,92.3788,infra
INTC,2024,-57.4926,infra
INTC,2025,82.4926,infra
INTC,2026,176.2062,infra
INTU,2019,35.7549,platform
INTU,2020,43.7999,platform
INTU,2021,73.9984,platform
INTU,2022,-37.987,platform
INTU,2023,60.9462,platform
INTU,2024,4.7199,platform
INTU,2025,7.0661,platform
INTU,2026,-37.2572,platform
MANH,2019,89.0258,legacy
MANH,2020,30.3669,legacy
MANH,2021,50.5519,legacy
MANH,2022,-20.4612,legacy
MANH,2023,77.9504,legacy
MANH,2024,30.6959,legacy
MANH,2025,-35.5341,legacy
MANH,2026,-21.4969,legacy
MDB,2019,64.6154,saas
MDB,2020,167.2821,saas
MDB,2021,51.0659,saas
MDB,2022,-59.6275,saas
MDB,2023,114.3381,saas
MDB,2024,-39.3234,saas
MDB,2025,71.5682,saas
MDB,2026,-21.8917,saas
MELI,2019,91.9197,saas
MELI,2020,174.5407,saas
MELI,2021,-17.7805,saas
MELI,2022,-36.5133,saas
MELI,2023,90.2338,saas
MELI,2024,11.2009,saas
MELI,2025,14.1224,saas
MELI,2026,-21.6289,saas
MRVL,2019,62.6273,infra
MRVL,2020,74.8555,infra
MRVL,2021,89.5266,infra
MRVL,2022,-58.4067,infra
MRVL,2023,68.457,infra
MRVL,2024,90.5511,infra
MRVL,2025,-24.9332,infra
MRVL,2026,98.1272,infra
MSFT,2019,58.2593,platform
MSFT,2020,39.9429,platform
MSFT,2021,55.79,platform
MSFT,2022,-27.6872,platform
MSFT,2023,58.3498,platform
MSFT,2024,14.5015,platform
MSFT,2025,16.3905,platform
MSFT,2026,-10.5842,platform
NICE,2019,45.2036,saas
NICE,2020,78.7543,saas
NICE,2021,8.8836,saas
NICE,2022,-34.8886,saas
NICE,2023,4.4282,saas
NICE,2024,-11.8904,saas
NICE,2025,-33.3569,saas
NICE,2026,-19.8142,saas
NOW,2019,58.3221,platform
NOW,2020,88.9953,platform
NOW,2021,23.2105,platform
NOW,2022,-38.3835,platform
NOW,2023,83.2659,platform
NOW,2024,54.1948,platform
NOW,2025,-27.3527,platform
NOW,2026,-35.5239,platform
NVDA,2019,73.4099,infra
NVDA,2020,118.0241,infra
NVDA,2021,124.4762,infra
NVDA,2022,-51.437,infra
NVDA,2023,246.0984,infra
NVDA,2024,178.8741,infra
NVDA,2025,34.8789,infra
NVDA,2026,19.3181,infra
OKTA,2019,82.3743,saas
OKTA,2020,116.742,saas
OKTA,2021,-10.5717,saas
OKTA,2022,-69.312,saas
OKTA,2023,30.1653,saas
OKTA,2024,-9.4253,saas
OKTA,2025,9.6917,saas
OKTA,2026,-1.0402,saas
ORCL,2019,19.1585,platform
ORCL,2020,22.0169,platform
ORCL,2021,38.9079,platform
ORCL,2022,-5.3945,platform
ORCL,2023,27.8448,platform
ORCL,2024,62.0967,platform
ORCL,2025,18.5621,platform
ORCL,2026,-0.8044,platform
PANW,2019,26.2213,security
PANW,2020,50.9664,security
PANW,2021,58.3234,security
PANW,2022,-23.0775,security
PANW,2023,112.9866,security
PANW,2024,25.9587,security
PANW,2025,1.9143,security
PANW,2026,35.3794,security
PATH,2021,-37.4928,ai_native
PATH,2022,-71.028,ai_native
PATH,2023,102.1155,ai_native
PATH,2024,-46.5966,ai_native
PATH,2025,26.7595,ai_native
PATH,2026,-35.3275,ai_native
PAYC,2019,121.1864,saas
PAYC,2020,66.3907,saas
PAYC,2021,-2.9318,saas
PAYC,2022,-23.3689,saas
PAYC,2023,-31.8156,saas
PAYC,2024,0.9996,saas
PAYC,2025,-20.3071,saas
PAYC,2026,-10.3601,saas
PCTY,2019,102.8883,saas
PCTY,2020,62.4152,saas
PCTY,2021,18.6555,saas
PCTY,2022,-16.2058,saas
PCTY,2023,-14.377,saas
PCTY,2024,22.5246,saas
PCTY,2025,-21.8229,saas
PCTY,2026,-26.4791,saas
PEGA,2019,67.4432,legacy
PEGA,2020,63.5433,legacy
PEGA,2021,-14.9926,legacy
PEGA,2022,-68.8574,legacy
PEGA,2023,41.5374,legacy
PEGA,2024,99.1199,legacy
PEGA,2025,28.6516,legacy
PEGA,2026,-39.8256,legacy
PLTR,2020,147.8947,ai_native
PLTR,2021,-22.0796,ai_native
PLTR,2022,-65.3535,ai_native
PLTR,2023,168.7011,ai_native
PLTR,2024,356.152,ai_native
PLTR,2025,136.4011,ai_native
PLTR,2026,-20.1775,ai_native
PRGS,2019,19.5264,saas
PRGS,2020,8.8056,saas
PRGS,2021,10.1511,saas
PRGS,2022,6.3122,saas
PRGS,2023,7.8275,saas
PRGS,2024,21.1853,saas
PRGS,2025,-33.6115,saas
PRGS,2026,-32.2863,saas
PTC,2019,-8.5815,legacy
PTC,2020,56.6191,legacy
PTC,2021,2.5131,legacy
PTC,2022,-2.3906,legacy
PTC,2023,46.2265,legacy
PTC,2024,9.0375,legacy
PTC,2025,-4.8085,legacy
PTC,2026,-16.5726,legacy
QQQ,2019,38.4052,benchmarks
QQQ,2020,45.9688,benchmarks
QQQ,2021,29.2447,benchmarks
QQQ,2022,-33.2199,benchmarks
QQQ,2023,55.9095,benchmarks
QQQ,2024,27.7399,benchmarks
QQQ,2025,21.0093,benchmarks
QQQ,2026,15.7724,benchmarks
ROBT,2019,33.7583,benchmarks
ROBT,2020,44.45,benchmarks
ROBT,2021,10.3956,benchmarks
ROBT,2022,-35.3974,benchmarks
ROBT,2023,26.9566,benchmarks
ROBT,2024,2.4935,benchmarks
ROBT,2025,15.3369,benchmarks
ROBT,2026,2.3236,benchmarks
RPM,2019,36.2086,security
RPM,2020,21.8075,security
RPM,2021,15.5293,security
RPM,2022,0.9396,security
RPM,2023,16.3166,security
RPM,2024,13.9909,security
RPM,2025,-11.18,security
RPM,2026,-7.2944,security
S,2021,18.8,security
S,2022,-69.3616,security
S,2023,88.3322,security
S,2024,-14.1863,security
S,2025,-33.5401,security
S,2026,15.1639,security
SAP,2019,36.9386,platform
SAP,2020,-3.3167,platform
SAP,2021,10.1908,platform
SAP,2022,-24.8796,platform
SAP,2023,51.1442,platform
SAP,2024,65.9674,platform
SAP,2025,0.817,platform
SAP,2026,-27.2218,platform
SEND,2019,29.0384,saas
SHOP,2019,188.9389,saas
SHOP,2020,177.568,saas
SHOP,2021,26.0884,saas
SHOP,2022,-74.5367,saas
SHOP,2023,118.3296,saas
SHOP,2024,44.02,saas
SHOP,2025,49.6978,saas
SHOP,2026,-36.2087,saas
SKYY,2019,25.6932,benchmarks
SKYY,2020,54.9262,benchmarks
SKYY,2021,12.3477,benchmarks
SKYY,2022,-44.2264,benchmarks
SKYY,2023,52.3106,benchmarks
SKYY,2024,39.8286,benchmarks
SKYY,2025,8.6898,benchmarks
SKYY,2026,0.5713,benchmarks
SMCI,2019,59.0728,infra
SMCI,2020,33.9822,infra
SMCI,2021,41.5459,infra
SMCI,2022,79.9649,infra
SMCI,2023,238.9697,infra
SMCI,2024,6.7788,infra
SMCI,2025,-2.5957,infra
SMCI,2026,0.2584,infra
SNOW,2020,10.8179,saas
SNOW,2021,21.7474,saas
SNOW,2022,-56.7664,saas
SNOW,2023,46.8635,saas
SNOW,2024,-18.3534,saas
SNOW,2025,39.2674,saas
SNOW,2026,-27.3361,saas
SNPS,2019,65.6157,legacy
SNPS,2020,81.4517,legacy
SNPS,2021,44.68,legacy
SNPS,2022,-11.5785,legacy
SNPS,2023,61.0704,legacy
SNPS,2024,-2.7276,legacy
SNPS,2025,-2.6991,legacy
SNPS,2026,4.5793,legacy
SOUN,2022,-76.4,ai_native
SOUN,2023,61.8321,ai_native
SOUN,2024,853.8462,ai_native
SOUN,2025,-50.5456,ai_native
SOUN,2026,-20.6604,ai_native
TEAM,2019,35.1679,saas
TEAM,2020,90.3239,saas
TEAM,2021,64.6614,saas
TEAM,2022,-63.2784,saas
TEAM,2023,88.0316,saas
TEAM,2024,7.372,saas
TEAM,2025,-33.1078,saas
TEAM,2026,-43.4867,saas
TWLO,2019,13.0045,saas
TWLO,2020,228.1629,saas
TWLO,2021,-21.2947,saas
TWLO,2022,-81.3336,saas
TWLO,2023,50.476,saas
TWLO,2024,51.9471,saas
TWLO,2025,30.4117,saas
TWLO,2026,43.3145,saas
TYL,2019,64.629,saas
TYL,2020,42.5418,saas
TYL,2021,24.638,saas
TYL,2022,-38.4538,saas
TYL,2023,30.9367,saas
TYL,2024,41.2641,saas
TYL,2025,-21.0068,saas
TYL,2026,-28.4377,saas
VEEV,2019,60.7727,saas
VEEV,2020,89.8536,saas
VEEV,2021,-6.8475,saas
VEEV,2022,-37.0372,saas
VEEV,2023,20.6115,saas
VEEV,2024,11.1375,saas
VEEV,2025,6.0072,saas
VEEV,2026,-27.6231,saas
VRNS,2019,51.1868,security
VRNS,2020,109.622,security
VRNS,2021,-9.3365,security
VRNS,2022,-50.8015,security
VRNS,2023,88.3919,security
VRNS,2024,-0.2022,security
VRNS,2025,-26.0262,security
VRNS,2026,-12.0474,security
WDAY,2019,2.9485,platform
WDAY,2020,43.0849,platform
WDAY,2021,19.7738,platform
WDAY,2022,-36.5501,platform
WDAY,2023,63.0115,platform
WDAY,2024,-3.8206,platform
WDAY,2025,-14.7157,platform
WDAY,2026,-39.2536,platform
WIT,2019,-26.4731,legacy
WIT,2020,50.8231,legacy
WIT,2021,70.6948,legacy
WIT,2022,-51.7205,legacy
WIT,2023,18.5441,legacy
WIT,2024,29.704,legacy
WIT,2025,-17.2822,legacy
WIT,2026,-35.274,legacy
ZM,2019,9.7419,saas
ZM,2020,390.8615,saas
ZM,2021,-48.9111,saas
ZM,2022,-63.2367,saas
ZM,2023,7.8758,saas
ZM,2024,18.0188,saas
ZM,2025,5.7735,saas
ZM,2026,20.2112,saas
ZS,2019,16.8048,security
ZS,2020,321.9522,security
ZS,2021,63.8686,security
ZS,2022,-62.9261,security
ZS,2023,101.0709,security
ZS,2024,-15.0492,security
ZS,2025,23.8137,security
ZS,2026,-26.9846,security
^GSPC,2019,28.7148,benchmarks
^GSPC,2020,15.2929,benchmarks
^GSPC,2021,28.7931,benchmarks
^GSPC,2022,-19.9531,benchmarks
^GSPC,2023,24.7295,benchmarks
^GSPC,2024,24.011,benchmarks
^GSPC,2025,16.6472,benchmarks
^GSPC,2026,8.0197,benchmarks
^IXIC,2019,34.6037,benchmarks
^IXIC,2020,41.7511,benchmarks
^IXIC,2021,23.2038,benchmarks
^IXIC,2022,-33.8937,benchmarks
^IXIC,2023,44.5208,benchmarks
^IXIC,2024,30.7793,benchmarks
^IXIC,2025,20.5448,benchmarks
^IXIC,2026,12.8661,benchmarks
